Episode,Total_Local_Reward,R_env,R_passing,R_in_box,R_assist,R_role,R_approach
1,-0.9000001,0.0,3.0,-4.5,0.0,0.0,1.2000000476837158
2,-0.6,0.0,0.0,0.0,0.0,0.0,0.6000000238418579
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.5,0.0,0.8999999761581421,0.0,0.0,0.0,0.6000000238418579
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-1.0000001,-1.0000001192092896,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-1.0000001,-1.0000001192092896,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.6000000238418579
13,0.39999992,0.0,-0.8000000715255737,0.0,0.0,0.0,1.2000000476837158
14,0.3,0.0,0.0,0.0,0.0,0.0,0.30000001192092896
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-1.0000001,-1.0000001192092896,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,-0.30000001192092896,0.0,0.0,0.0,0.30000001192092896
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.7999998,-1.0000001192092896,2.5,0.0,0.0,0.0,0.30000001192092896
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2.1,0.0,1.5,0.0,0.0,0.0,0.6000000238418579
26,0.3,0.0,0.0,0.0,0.0,0.0,0.30000001192092896
27,-2.3999999,0.0,-3.0000001192092896,0.0,0.0,0.0,0.6000000238418579
28,-0.6,0.0,-0.30000001192092896,0.0,0.0,0.0,0.6000000238418579
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.3,0.0,0.0,0.0,0.0,0.0,0.0
31,-2.3999999,0.0,0.0,0.0,0.0,0.0,0.30000001192092896
32,-0.90000004,0.0,-1.2000000476837158,0.0,0.0,0.0,0.30000001192092896
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.3,0.0,0.0,0.0,0.0,0.0,0.30000001192092896
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,-0.6000000238418579,0.0,0.0,0.0,0.6000000238418579
38,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
39,-1.2,0.0,-1.5000000596046448,0.0,0.0,0.0,0.30000001192092896
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-0.90000004,0.0,0.0,0.0,0.0,0.0,0.0
43,0.8,0.0,0.5,0.0,0.0,0.0,0.30000001192092896
44,-0.90000004,0.0,-1.5000000596046448,0.0,0.0,0.0,0.6000000238418579
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
