Episode,R_total,R_env,R_passing,R_in_box,R_assist,R_role,R_approach
1,4.099999726,0,-1,-4,0,4.799999714,0.300000012
2,2.099999726,0,-3,0,0,4.799999714,0.300000012
3,10.4999994,0,0,0,0,10.19999939,0.300000012
4,15.99999905,0,-6.5,0,0,20.87999898,1.619999982
5,25.49999887,0,-5,1,0,20.95999861,9.539999612
6,18.8399985,0,-12.30000001,0,0,26.75999823,4.379999965
7,44.89999719,0,-15,0,0,38.11999819,21.77999929
8,38.53999764,0,-11,0,0,32.67999673,16.8599996
9,4.099999726,0,-1,0,0,4.799999714,0.300000012
10,37.03999646,0,-17.80000001,0,0,45.95999774,8.879999846
11,45.91999695,-1.000000119,-8.5,-4,0,42.75999846,12.65999971
12,48.87999728,-1.000000119,-10.80000001,8,0,50.95999687,9.719999827
13,69.73999629,0,-19,0,0,56.5999973,34.13999881
14,6.819999635,0,0,0,0,6.159999639,0.659999996
15,3.099999726,0,-2,0,0,4.799999714,0.300000012
16,73.57999579,-1.000000119,-16.5,0,0,54.95999761,36.11999869
17,68.47999491,-1.000000119,-21.5,0,0,66.19999421,24.77999906
18,37.59999759,-1.000000119,-15.80000001,0,0,49.35999756,5.039999932
19,48.27999638,-1.000000119,-37,0,0,55.15999807,33.11999898
20,28.11999846,0,-0.5,0,0,28.19999838,0.420000009
21,55.25999781,0,-7.300000012,4,0,43.23999822,19.31999929
22,66.35999465,0,-23,0,0,71.55999431,25.79999924
23,67.59999531,0,-27.80000001,0,0,69.19999593,22.19999935
24,3.099999726,0,-2,0,0,4.799999714,0.300000012
25,37.01999681,0,-23.30000001,0,0,50.8399969,9.479999833
26,59.33999714,-1.000000119,-21,0,0,62.27999744,21.05999929
27,41.31999638,-1.000000119,-54.59999996,3,0,68.23999874,28.67999911
28,17.53999889,0,-9,0,0,20.11999929,6.419999838
29,2.059999734,0,-3,0,0,4.759999692,0.300000012
30,50.159996,-1.000000119,-42.09999996,0,0,67.27999601,25.97999921
31,4.799999744,0,-1.5,0,0,5.999999642,0.300000012
32,3.099999756,0,-2,0,0,4.799999714,0.300000012
33,50.47999757,-1.000000119,-9.5,0,0,49.03999793,11.93999963
34,44.43999602,0,-10.5,0,0,43.8399957,11.09999977
35,56.35999615,-1.000000119,-21.10000002,0,0,57.99999611,20.45999958
36,6.619999558,0,-2,0,0,7.959999532,0.659999996
37,40.57999711,0,-23.29999995,0,0,55.71999802,8.159999862
38,6.419999599,0,-1,-6,0,6.759999603,0.659999996
39,4.099999905,0,-1,0,0,4.799999714,0.300000012
40,49.75999627,0,-17,0,0,43.95999835,22.79999938
41,39.11999629,-1.000000119,-20.80000001,0,0,49.15999742,11.75999977
42,46.29999728,0,-17.30000001,0,0,55.07999727,8.519999824
43,35.21999595,-1.000000119,-25.89999998,-5,0,50.59999743,11.51999984
44,55.35999675,0,-29.89999998,0,0,59.63999705,25.61999946
45,53.25999692,0,-25.80000001,0,0,57.27999684,21.77999942
46,25.93999666,-1.000000119,-21,0,0,36.23999684,11.69999973
47,57.59999549,-1.000000119,-18.5,0,0,53.63999707,23.45999906
48,43.13999739,-1.000000119,-14,0,0,44.63999751,13.4999996
49,62.17999638,-1.000000119,-21.5,0,0,63.07999723,21.59999941
50,44.19999665,0,-14.5,4,0,50.71999674,7.97999984
51,18.87999856,0,-8,0,0,24.8399983,2.039999992
52,51.81999701,-1.000000119,-20.89999998,0,0,50.07999769,23.63999934
53,52.53999607,0,-4,0,0,42.91999812,13.61999969
