Episode,R_total,R_env,R_energy,R_passing,R_in_box,R_assist,R_role,R_approach
1,7.698878015962581,0.0,9.023878015962582,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
2,7.339462522470561,0.0,9.289462522470561,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
3,8.59711441077104,0.0,11.172114410771039,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
4,16.14326640279195,0.0,18.093266402791954,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
5,16.050431916318452,0.0,18.62543191631846,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
6,10.697661261752653,0.0,12.647661261752654,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
7,8.940804955653173,0.0,10.890804955653172,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
8,8.92056556916739,0.0,10.87056556916739,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
9,6.12039432111614,0.0,7.445394321116139,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
10,37.63670720096098,1.0000001192092896,49.61170717115867,-21.5,-1.5,1.0,8.725000470876694,0.30000001192092896
11,6.121556814142509,0.0,7.446556814142508,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
12,35.47605124390993,0.0,52.75105124390992,-28.0,0.0,0.0,10.725000351667404,0.0
13,17.499862754912847,0.0,20.074862754912846,-4.0,0.0,0.0,1.1250000894069672,0.30000001192092896
14,7.678919435772944,0.0,9.003919435772943,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
15,9.707637012013935,0.0,9.032637012013936,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
16,5.475177709137743,0.0,7.425177709137744,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
17,59.48408391310266,0.0,93.85908391310265,-43.5,-6.0,0.0,14.825000822544098,0.30000001192092896
18,125.0439039563398,0.0,163.64390395633976,-61.299999952316284,0.0,0.0,22.100000113248825,0.6000000238418579
19,123.42549631300035,0.0,169.7754963130004,-74.29999995231628,0.0,0.0,27.35000117123127,0.6000000238418579
20,127.86252333000124,0.0,161.1625233300012,-60.0,0.0,0.0,26.70000158250332,0.0
21,96.19405189903455,0.0,141.61905189903456,-68.0,0.0,0.0,22.575000435113907,0.0
22,9.363258800329104,0.0,9.313258800329107,-1.0,0.0,0.0,0.7500000596046448,0.30000001192092896
23,49.19521623138902,0.0,73.92021623138902,-38.0,0.0,0.0,12.975000888109207,0.30000001192092896
24,6.132980360939678,0.0,7.457980360939677,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
25,6.101791656251691,0.0,7.42679165625169,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
26,11.368657014036671,0.0,14.56865701403667,-5.0,0.0,0.0,1.5000001192092896,0.30000001192092896
27,6.098649467859044,0.0,7.423649467859045,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
28,6.089034049531275,0.0,7.414034049531276,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
29,208.17275983876252,0.0,243.12275983876256,-56.299999952316284,0.0,0.0,19.85000056028366,1.5000000596046448
30,146.26181729379914,0.0,211.41181729379903,-88.59999990463257,0.0,0.0,21.950000636279583,1.5000000596046448
31,6.108674645450113,0.0,7.433674645450113,-2.0,0.0,0.0,0.3750000298023224,0.30000001192092896
32,8.095383023686278,0.0,7.420383023686278,0.0,0.0,0.0,0.3750000298023224,0.30000001192092896
33,37.03598521912821,0.0,47.51098521912821,-20.0,0.0,0.0,9.525000780820847,0.0
34,7.3048948481261045,0.0,9.254894848126106,-3.0,0.0,0.0,0.7500000596046448,0.30000001192092896
